クエストID,クエスト名,ワールド名上段,ワールド名下段,依頼主,クエスト内容１,クエスト内容2,クエスト内容3,クエスト内容4,クエスト内容5,クエスト内容6,クエスト内容7,受注制限,難易度,成功報酬,失敗報酬,備考1,備考2,備考3,分類タグ,PC対応,android対応
0061,とあるランプの発見,たのなら証拠を撮影してきてほしいのじゃ,,0,超常現象研究科,わしは日々様々な超常現象を研究しておる,のだがどうやらこの世界には時間遡行が,出来る特別なランプがあると言う噂が,あるんじゃが不確かな噂を信じ探しに行く,時間がないんじゃそこで君たちに噂の真偽,を確かめるため魔法のランプを探し見つけ,特になし,,★☆☆☆☆P,5P,FALSE,特になし,,調査,☐,☑
0085,土木作業は楽しいゾ！,してくれたら私から追加の報酬も出そう！,,6,汗水働く現場監督,そこの冒険者！穴掘りに興味はないか？！,,土砂崩れで休憩所が埋まってしまったので,急遽作業人員が必要になってしまった！,,穴掘りのついでにAkyoの遺物を５つ発見,特になし,F,★★☆☆☆P,6P,FALSE,Akyo５体発見で追加報酬,,採取,☐,☑
0023, I’m a Igor,,,0,ホラー雑誌編集長,命の危険を冒して恐ろしいスラッシャーを,撮影してくれる方を募集している……,もちろん報酬は要相談だ……,今回はIgor、彼には2つの顔がある,そのうちの一つDESTROYERを,撮ってきてもらおう,Dランク以上,D,★★★★★P,35P,FALSE,推奨人数：2人,デストロイヤー状態の,ホラー,☐,☑
0045,金の斧の回収,とっってもとっても欲しいですわ～,,0,冒険者ギルドアトラス,とある辺境の村に普通の斧を入れると,金の斧に変えてくれる泉があると言う,情報を耳にしましたの！ギルドとしては,そう言った情報は見過ごせませんは！,どなたか村の泉に行って金の斧を手に,入れて来てくださらないかしら～,特になし,,★☆☆☆☆P,5P,FALSE,特になし,,採取,☐,☑
0031,繁盛店へのヘルプ,提供出来る人物に来てもらいたいね。,,0,ファミレス店長,うちのお店はものすごく人気で,注文がごった返して手に負えないんだ,そこでアルバイトの依頼を頼みたい,だがお客さんだって忙しくてあまり時間,が無いそれにうちの店は三ツ星評価をされて,いるから迅速に調理できて味も一流の物を,Eランク以上,E,★★☆☆☆P,13P,TRUE,リザルトの撮影をお願いします。,集合写真も記念に撮影してくださいね。,採取,☐,☑
0066,回収出来たらくれてやる！！,警備を突破して隠した物を取ってきてくれ！,,12,傷だらけの盗賊,いてて…こっぴどくやられちまったぜ…,教会に金目の物を盗もうと忍び込んだら,まさか市街騎士団の本部だとは…,盗賊の矜持として何とかあるブツは,盗めたんだが、警備が厳しくなって,隠すことしかできなかった…,Eランク以上,E,★☆☆☆☆P,6P,FALSE,忍者、盗賊の方を連れて,クリアで特別報酬,採取,☐,☑
0059,二つ名の命名,今回もよろしく頼むよ！,,0,厨二病な魔法使い,以前は僕が依頼した技の命名のクエストを,達成してくれたこと感謝する！君たちが,技の命名をしてくれたおかげで魔法が,完成し実績を認められ二つ名を名乗る,ことを許された！そこで今回も君たちに,僕に相応しい二つ名を考えてもらいたい！,特になし,,★☆☆☆☆P,5P,FALSE,4人以上のPT,,採取,☐,☑
0088,美しき中心点,冒険者様達もブルを射った写真を撮ってみて,,0,ゴーグルを付けた受付嬢,この世界って何でもあるんだね～,色んな競技も楽しめるから飽きが来ないよ,このワールドではシンプルなダーツが出来る,んだけど、なかなか高得点が取れないのよ,でもそんな状態で上手に中心「ブル」を,射止めた時はとっても気持ちいいの,Dランク以上,D,★★★☆☆P,22P,TRUE,特になし,,調査,☐,☑
0042,絶対にボタンを押したい！,だれかネコチャンをどうにかして！,謎解き 絶対にボタンを,0,犬のまめフレンズ,あのね、わたしボタンおしたいの！,ボタンおしたらさきにすすめそうだからね！,でもネコチャンがじゃまするの......,きっとなにかすごいものがあるんだと,わたしのカンがささやいてるんだ！,おねがいだから,特になし,,★☆☆☆☆P,5P,FALSE,特になし,,調査,☐,☑
0046,無限の最奥に眠るもの,,無限の図書館,0,冒険家,その図書館ははるか昔,とある魔法によって最上階への道を,閉ざされてしまったらしい,図書館に流れる音楽が謎を解く,鍵になってるらしいが……,よければ最上階の景色を撮ってくれないか？,特になし,,★☆☆☆☆P,5P,TRUE,特になし,,調査,☐,☑
0084,森の守り神を探して・・・,その兎とともに廃村を復興してほしい。,follow the rabbit,0,村を復興したい開拓者,兎の守り神がいると噂を聞いたんだ,その兎はかつて村に繁栄をもらたしたとか。,今では廃村となってしまった村だけど,それは、かつての力を失ってしまったせいだ,僕自身はそう考えてる。,もし本当に兎がいるのであれば,Eランク以上,E,★★☆☆☆P,15P,FALSE,途中参加は同期ズレする,,調査,☐,☑
0022,クッキーモンスター,,,0,ホラー雑誌編集長,命の危険を冒して恐ろしいスラッシャーを,撮影してくれる方を募集している……,もちろん報酬は要相談だ……,手始めにsidと呼ばれるスラッシャーが,クッキーを食べている瞬間でも,撮ってきてもらおう,Eランク以上,E,★★★★★P,30P,FALSE,推奨人数：2人,クッキーを食べている,ホラー,☐,☑
0072,Blockという恐怖,すみませんが遊んでみてくれませんか？,,0,優しいVRCユーザー,最近奇妙なことが周囲で起きているんだ,先週あたりにUSERrankがtrustedになった,ので、記念に簡単なゲームワールドを,作ってみたんだ。,でも、なぜかクリア出来なくて......,システムにバグもないし絶対におかしい...,Fランク以上,F,★★☆☆☆P,12P,TRUE,4人以上推奨,,調査,☐,☑
0041,10円とおうかん,もしかしたらもっとあるかも知らんがな...,,3,駄菓子屋のおじさん,あんたらよう来てくれたねぇ,そんなに大事なもんちゃうけんど,昔あつめていた王冠ってやつを,探してほしいんや,確か５つくらいあった気がするが...,正直そんだけあれば思い出に浸れるわ,特になし,,★☆☆☆☆P,5P,FALSE,追加報酬あり：3Ｐ,,採取,☐,☑
0019,実戦訓練！,,,0,東の島国出身の騎士,技の使い方は習得できたみたいだな。,ここからは実戦訓練を開始する！,心してかかるがよい！,,,,Eランク以上,E,★★☆☆☆P,5P,FALSE,推奨人数：2人,最後まで戦い抜く,討伐,☐,☑
0052,調査してほしいですの！,調査をしてきて欲しいですわ！,,0,ギルドマスター,この前新しく出来たアスレチックの,ワールドに下調べに行ってくださった,職員の方たちが泥まみれになって帰って来て,口を揃えて「あそこは…キツい」と,言っていてとても心配ですのですから,冒険者の皆様にそのアスレチックを攻略し,Eランク以上,E,★★☆☆☆P,15P,FALSE,特になし,,調査,☐,☑
0030,絶景を再び,絶景を写真に収めてきてくれないかのぉ？,,0,絶景好きのご老人,いつしか見た絶景が忘れられなくてのぉ…,確か宝箱に鍵を刺すことで辺り一面に,広がる絶景じゃったんだが肝心な鍵を,無くしてしもうてのぉ…,あの絶景をもう一度見たくてのぉ…,これを読んでいる冒険者さんや鍵を探し,Eランク以上,E,★☆☆☆☆P,12P,FALSE,特になし,,調査,☐,☑
0087,地雷原を突破してみろ！,,,0,白髪のパワー系受付嬢,うちの知り合いの家が面白くてな！,なんとまあ家の周辺にすんごい量の爆弾,を地面に埋めているらしいんだ！,家の前にはミラーがあるから,そこで自撮りでも取ってみてくれ！,一応爆弾の探知機もあるから安心してくれ！,Dランク以上,D,★★★☆☆P,11P,TRUE,空間把握能力が必要,,調査,☐,☑
0033,溢れた粘液の始末,核の位置を写真に収めてきてもらいたい,,0,粘液駆除班の隊長,突如街中に大量の粘液が押し寄せてきた,このままでは街全域が粘液に支配されて,しまう。そうなる前に対処しなくては…,どうやらこの粘液には核が存在していて,そこを破壊出来れば粘液も消滅するだろう,から正確な位置を掴むため現地に向かい,特になし,,★☆☆☆☆P,5P,FALSE,特になし,,,☐,☑
0083,爆弾魔の犯行阻止,安全に爆弾を解体してほしい。,Killer in The Crowd,0,地元の警察官,地元のメディアに爆破予告文が送られた。,どうやら犯人はビルを爆破するのが目的で,実行されると大勢の犠牲者がでてしまう。,私達は顔が割れておりビルに接近ができない,そこで、君たち冒険者の手を借りたい。,時間は３０分しかないので速やかにかつ,Eランク以,E,★★☆☆☆P,0P,TRUE,ワールド定員８名,,討伐,☐,☑
0020,冒涜された眠り,調査に向かってください。,ヴードゥー・キングダム エピ,0,冒険者ギルドアトラス,【先行調査クエスト】,※先着順（同日であれば受注可能）,とある研究者から救援要請がありました。,ですが、詳細な話を聞く前に,連絡が途絶えてしまいました。,詳細な情報を得るために、,Eランク以上,E,★★★☆☆P,5P,FALSE,推奨人数：1人,研究所で何が起きたか調べる,先行調査,☐,☑
0028,技の命名,,ぼくのかんがえた,3,厨二病な魔法使い,ハーハッハァ！ついに僕は新しい魔術を,完成させたぞ！この最強の僕に相応しい,魔術さ！だが出来たは良いものの肝心な,技名を決めらていなくてこの依頼書を,読んでいる君らに僕の新しい魔術に,相応しい名前を考えてもらいたい！,条件なし,,★☆☆☆☆P,5P,TRUE,推奨人数：3～6人,パーティー内で１位の人には3Ｐ,調査,☐,☑
0027,異世界の学問,まさか解けないなんてことはないだろう？,,5,とある学校教員,君たちにはこれから学力テストを,行なってもらう…なぜかって？,,私が異世界の問題集を拾ったから,純粋に冒険者諸君に,やらせてみたくなったからさ！！,Eランク以上,E,★☆☆☆☆P,5P,TRUE,推奨人数：12人,PT対抗クエストで、PTメンバ全員の,調査,☐,☑
0078,生物兵器猫？,,,0,とある都市研究員,廃墟となった都市に猫の出現報告がある,最初は冗談かと思ったが現地の兵士から,多数の目撃情報があったのでこれを調査,資料サンプルとして記録がほしい。,調査が進むことで犠牲も少なくなる,依頼を受諾してくれることを期待しているよ,Dランク以上,D,★★☆☆☆P,10P,TRUE,推奨人数2人以上(ソロ可),リザルトではなくゲーム中に出現します。,討伐,☐,☑
0024,爆弾猫ゲーム,,,0,謎のギャンブラー,ルールはシンプル,爆弾猫カードを引かないこと,そのために相手を蹴落とすことも,ちゃんと視野にいれて,是非命のギャンブルを………,,Fランク以上,F,★☆☆☆☆P,3P,TRUE,推奨人数：4人,最後まで生き残る,調査,☐,☑
0034,不可思議な世界の探索,撮ってきてもらいたい。,,0,冒険者ギルドアトラス・職員,この区域に突如多種多様な世界,そして扉が多数出現したのを確認した,まだ何が起きているのか情報が,不足しており職員も何人か失踪していて,困っているんだそこで君たちには,この不可解な世界の写真を,特になし,,★☆☆☆☆P,5P,FALSE,特になし,,調査,☐,☑
0038,かどに潜む魚,,,0,地底世界の管理者,私だけの世界に侵入者が現れた,ロビーのどこかに謎の魚がいるらしい...,エンケファリン（Eph）を５pt与えると,喜ぶという噂だが...,,写真でもよいから姿を見てみたいものだ...,特になし,,★☆☆☆☆P,5P,FALSE,特になし,,ホラー,☐,☑
